ParticipantID,SEX,ParticipantAge,ParticipantEthnicity1,ParticipantEthnicity2,ParticipantEthnicity3,ParticipantEthnicity4,EducationLevel,FamilyIncome,ParticipantLTR,DatingLength,RelationshipSatisfaction,ProbabilityLeaveCurrentPartner,PartnerNumber,HadSex,AgeSex,ParticipantPrimarilyAttracted,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth1,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc
459,2,58,1, , , ,3,2,2, , , ,10,1,17,1,10,0,0,3,4,4,5,4,4,5,5,5,5,5,6,5,5,5,5,5,5,3,2,4,4,4,4,4,6,3
460,2,41,8, , , ,3,7,1,5,9,1,1,1,23,1,1,1,0,2,4,6,6,7,7,4,3,7,6,5,6,7,2,5,7,7,7,4,6,5,4,6,4,1,1,1
461,2,66,1, , , ,2,3,1,5,11,1,2,1,21,1,2,2,2,2,4,5,5,6,6,6,2,4,5,5,7,7,1,1,7,7,7,7,7,7,4,7,7,1,1,1
462,1,35,3, , , ,4,3,1,2,5,7,22,1,22,2,2,5,2,3,4,5,5,5,6,5,6,6,6,6,2,6,5,5,5,6,6,5,5,6,5,6,5,3,2,3
463,1,32,3, , , ,4,1,1,5,10,11,1,1,26,2,1,1,15,4,4,5,6,6,5,4,5,6,6,6,3,6,5,4,5,6,5,4,4,5,6,7,6,4,3,3
464,1,36,3, , , ,4,3,1,5,10,1,2,1,26,2,1,1,5,3,4,4,4,5,4,6,6,6,6,6,3,1,2,1,5,6,4,5,4,4,4,7,4,5,4,4
465,2,23,6, , , ,5,4,2, , , ,5,1,15,1,13,2,1,4,4,4,7,5,4,4,5,5,6,6,3,4,6,5,5,5,6,6,5,5,6,5,6,3,2,2
466,2,49,1, , , ,2,4,1,5,10,1,3,1,18,1,1,1,2,4,4,5,6,6,6,6,6,6,6,6,3,2,2,4,6,6,6,6,6,6,6,6,4,2,2,2
467,1,33,6, , , ,4,7,1,5,10,1,3,1,17,2,3,1,4,4,4,3,3,5,2,3,5,5,5,6,4,3,5,2,3,4,5,2,6,5,2,5,4,2,5,3
468,1,28,2, , , ,3,3,1,5,7,9,3,1,22,2,2,1,1,4,4,3,5,6,6,5,3,5,4,6,4,6,4,4,5,3,5,3,5,3,4,6,3,2,4,3
469,2,38,1, , , ,4,8,1,5,11,11,3,1,16,1,3,1,30,3,4,6,5,5,3,5,5,6,5,6,4,4,3,4,6,5, ,5,5,6,4,2,3,3,3,5
470,2,42,1, , , ,3,7,2, , , ,6,1,14,1,6,0,0,1,4,4,5,7,4,7,6,7,7,6,5,7,6,7,7,7,7,2,2,6,4,4,5,6,3,3
471,2,29,1, , , ,5,8,1,5,8,1,1,1,17,1,2,2,5,3,4,5,6,5,5,7,5,4,5,6,5,2,3,4,7,7,6,2,3,7,4,4,5,1,3,2
472,1,28,1, , , ,4,8,2, , , ,0,1,25,2,3,1,0,5,4,1,3,5,3,2,5,2,6,6,5,5,4,3,5,4,4,3,2,3,4,3,7,3,4,5
473,2,25,1, , , ,2,6,1,5,9,1,4,1,17,1,8,1,1,4,4,4,4,4,4,3,5,6,5,6,5,2,2,1,6,6,6,4,4,4,4,4,4,4,4,4
474,1,26,2, , , ,4,2,1,4,10,10,3,1,21,2,1,1,1,4,4,2,4,2,4,6,7,4,5,6,5,5,4,7,2,5,4,7,5,6,3,4,6,4,6,4
475,1,25,5, , , ,5,4,1,4,11,1,3,2, ,2,0,0,0,3,4,6,3,7,6,4,7,3,4,6,6,3,4,3,7,7,4,2,2,7,4,7,6,1,1,5
476,2,27,6, , , ,4,4,1,5,7,3,7,1,17,1,10,1,2,3,4,3,4,3,3,3,6,5,6,6,6,2,2,2,6,6,6,2,3,3,3,3,2,2,2,3
477,1,46,1, , , ,5,3,1,5,8,2,7,1,20,2,10,1,4,4,4,4,4,4,4,6,6,6,6,6,6,5,4,4,4,4,4,4,2,2,2,4,4,4,4,4
478,1,32,6, , , ,4,1,2, , , ,0,2, ,2,0,0,0,4,4,4,6,4,4,4,6,6,6,6,6,2,1,3,7,7,7,4,1,4,4,4,4,1,5,5
479,2,66,1, , , ,4,3,2, , , ,20,1,15,1,100,0,0,2,4,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,6,4,4,6,4,6,6,2,2,2
480,1,33,6, , , ,4,7,1,5,10,1,3,1,17,2,3,1,4,5,4,4,2,4,2,2,5,6,6,6,6,3,5,5,6,2,2,3,2,5,3,4,4,6,2,2
481,1,45,1, , , ,4,2,1,5,7,3,10,1,18,2,15,1,0,2,4,4,4,5,4,6,4,4,6,6,6,6,4,4,5,6,5,3,2,4,3,4,5,4,5,4
482,1,34,1,6, , ,1,7,1,5,10,1,5,1,16,2,20,0,0,3,4,4,6,6,4,3,7,6,6,6,7,7,7,7,7,6,7,1,1,2,4,6,6,4,7,1
483,2,41,1, , , ,3,9,1,5,1,10,10,1,14,1,6,1,0,1,4,3,3,5,3,6,6,7,7,6,7,7,6,7,7,7,7,2,3,6,4,5,6,3,1,2
484,1,51,1, , , ,5,8,1,5,10,1,7,1,16,2,7,1,0,3,4,4,6,7,4,7,7,7,7,7,1,1,1,7,7,7,7,2,3,6,2,7,3,1,7,1
485,2,51,1,8, , ,3,2,1,5,10,1,10,1,14,1,20,1,4,2,4,7,7,7,7,7,7,7,7,7,1,2,2,2,7,7,7,2,2,7,4,6,3,1,1,1
486,2,23,1, , , ,4,9,2, , , ,2,1,21,1,1,0,0,3,4,4,4,4,4,4,7,7,4,7,1,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4
487,1,28,2, , , ,4,1,1,5,10,11,2,1,21,2,3,1,35,3,4,3,7,6,5,7,7,6,6,7,2,1,1,2,1,4,2,4,5,4,3,3,4,1,1,4
488,1,19,1, , , ,3,7,1,5,11,1,2,1,19,2,1,1,0,2,4,4,6,7,6,6,6,7,6,7,2,7,7,7,6,6,3,2,2,6,4,7,6,1,2,1
